date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:38	8379/8379	---M--	200	added ('OK')	image/jpeg	etag:%2260fc7bd2d17a31aa627973abbb8c52b8%22	https://image.tmdb.org/t/p/w300/aRNMwIvEnYEMwGHLCAACyuq2I1K.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/aRNMwIvEnYEMwGHLCAACyuq2I1K.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:38	432274/432274	---M--	200	added ('OK')	image/jpeg	etag:%222d84057661fc185540e61e1cb5a21ac1%22	https://image.tmdb.org/t/p/original/gespPE81A2RYvMxl9XaVNvIgevS.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/gespPE81A2RYvMxl9XaVNvIgevS.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:39	13144/13144	---M--	200	added ('OK')	image/jpeg	etag:%222d84057661fc185540e61e1cb5a21ac1%22	https://image.tmdb.org/t/p/w300/gespPE81A2RYvMxl9XaVNvIgevS.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/gespPE81A2RYvMxl9XaVNvIgevS.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:39	161332/161332	---M--	200	added ('OK')	image/jpeg	etag:%225b9490fae4912a44eb87fceb81f9b109%22	https://image.tmdb.org/t/p/original/vK18znei8Uha2z7ZhZtBa40HIrm.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/vK18znei8Uha2z7ZhZtBa40HIrm.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:39	6705/6705	---M--	200	added ('OK')	image/jpeg	etag:%225b9490fae4912a44eb87fceb81f9b109%22	https://image.tmdb.org/t/p/w300/vK18znei8Uha2z7ZhZtBa40HIrm.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/vK18znei8Uha2z7ZhZtBa40HIrm.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:39	351071/351071	---M--	200	added ('OK')	image/jpeg	etag:%222256e638395109a3add71b399d88cb8f%22	https://image.tmdb.org/t/p/original/1Rr5SrvHxMXHu5RjKpaMba8VTzi.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/1Rr5SrvHxMXHu5RjKpaMba8VTzi.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:40	15004/15004	---M--	200	added ('OK')	image/jpeg	etag:%222256e638395109a3add71b399d88cb8f%22	https://image.tmdb.org/t/p/w300/1Rr5SrvHxMXHu5RjKpaMba8VTzi.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/1Rr5SrvHxMXHu5RjKpaMba8VTzi.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:40	1280279/1280279	---M--	200	added ('OK')	image/jpeg	etag:%2297a2cc81df964688646e95bd62e5b38d%22	https://image.tmdb.org/t/p/original/wA2t7nsO10swf2Snpd6XM5a6yLR.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/wA2t7nsO10swf2Snpd6XM5a6yLR.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:40	12287/12287	---M--	200	added ('OK')	image/jpeg	etag:%2297a2cc81df964688646e95bd62e5b38d%22	https://image.tmdb.org/t/p/w300/wA2t7nsO10swf2Snpd6XM5a6yLR.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/wA2t7nsO10swf2Snpd6XM5a6yLR.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:40	283550/283550	---M--	200	added ('OK')	image/jpeg	etag:%22bfcdbcbd8b99de9212b1f72ab963b7a9%22	https://image.tmdb.org/t/p/original/8L4mdjd9Zuxju3cDB3spgJ8AOPw.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/8L4mdjd9Zuxju3cDB3spgJ8AOPw.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
